,mi
FLAG_CONT_MOBILE,0.06617490484899258
FLAG_MOBIL,0.06473533099899909
NAME_EDUCATION_TYPE,0.04384663166858482
FLAG_EMP_PHONE,0.04367033715903257
NAME_TYPE_SUITE,0.04249933864054922
NAME_HOUSING_TYPE,0.040694584519287424
REGION_RATING_CLIENT_W_CITY,0.03996591138016581
REGION_RATING_CLIENT,0.039288702654372454
FLAG_DOCUMENT_3,0.03262171961996807
COMMONAREA_AVG,0.031510863801890165
LIVINGAPARTMENTS_MODE,0.03127762260768341
LIVINGAPARTMENTS_MEDI,0.030940894250777395
NONLIVINGAPARTMENTS_AVG,0.030934327133709028
FLOORSMIN_AVG,0.03087240079462772
FLAG_OWN_REALTY,0.030818341504900593
FLOORSMIN_MODE,0.030778755753144704
NONLIVINGAPARTMENTS_MEDI,0.030625030162013678
COMMONAREA_MEDI,0.030596457569245894
COMMONAREA_MODE,0.030559115061407294
EXT_SOURCE_1,0.03049736958083149
LIVINGAPARTMENTS_AVG,0.030396200249863004
FLOORSMIN_MEDI,0.030309148546492803
NONLIVINGAPARTMENTS_MODE,0.0302199789697295
EMERGENCYSTATE_MODE,0.030067772671606763
YEARS_BUILD_AVG,0.030050300144592423
YEARS_BUILD_MODE,0.029919554545697835
YEARS_BUILD_MEDI,0.029861228538999418
OWN_CAR_AGE,0.029694716455547665
LANDAREA_MEDI,0.027352645033450917
LANDAREA_AVG,0.02678535560166173
BASEMENTAREA_MEDI,0.026425766759272662
BASEMENTAREA_MODE,0.026020215721448414
LANDAREA_MODE,0.02599066100215852
BASEMENTAREA_AVG,0.025620746202506872
NONLIVINGAREA_AVG,0.025149327492530293
ELEVATORS_MEDI,0.02459933236013967
NONLIVINGAREA_MODE,0.02443269569785067
APARTMENTS_AVG,0.024418456252356835
ELEVATORS_AVG,0.024238537079672717
ENTRANCES_MEDI,0.02405224670051198
NONLIVINGAREA_MEDI,0.02381191201435584
ELEVATORS_MODE,0.023626138973396493
FLOORSMAX_MEDI,0.02355606287141221
ENTRANCES_MODE,0.023450118503876016
NAME_INCOME_TYPE,0.023299974542225765
LIVINGAREA_AVG,0.02326650181617662
FLOORSMAX_MODE,0.023062038014227237
APARTMENTS_MODE,0.022997178506976468
ENTRANCES_AVG,0.0229030963639012
NAME_FAMILY_STATUS,0.022856605753311054
LIVINGAREA_MODE,0.022745374948448527
YEARS_BEGINEXPLUATATION_MODE,0.022667035015920822
FLOORSMAX_AVG,0.022600294808721832
APARTMENTS_MEDI,0.02241861919467003
LIVINGAREA_MEDI,0.02233949848482708
EXT_SOURCE_3,0.021819193697639294
YEARS_BEGINEXPLUATATION_MEDI,0.02161502406277349
TOTALAREA_MODE,0.021579094878332983
CNT_FAM_MEMBERS,0.021014483552935337
YEARS_BEGINEXPLUATATION_AVG,0.020772066146244494
WALLSMATERIAL_MODE,0.020241905885044265
HOUSETYPE_MODE,0.017357537808878165
OCCUPATION_TYPE,0.01679399728666553
DAYS_EMPLOYED,0.015993855443906524
EXT_SOURCE_2,0.012425534816776551
AMT_ANNUITY,0.01179798658202258
FONDKAPREMONT_MODE,0.011232867712712924
CODE_GENDER,0.009506062922699288
WEEKDAY_APPR_PROCESS_START,0.009402331726446667
ORGANIZATION_TYPE,0.008238861913434814
AMT_REQ_CREDIT_BUREAU_YEAR,0.0073424795344601
FLAG_OWN_CAR,0.0073135138129882815
AMT_CREDIT,0.007213532087808838
AMT_REQ_CREDIT_BUREAU_DAY,0.006827298186612651
AMT_GOODS_PRICE,0.006442471300905472
AMT_REQ_CREDIT_BUREAU_MON,0.006230067137655615
AMT_REQ_CREDIT_BUREAU_HOUR,0.006086516390475971
AMT_REQ_CREDIT_BUREAU_QRT,0.006028435479263461
AMT_REQ_CREDIT_BUREAU_WEEK,0.0059964529065887895
FLAG_PHONE,0.00539853917870925
HOUR_APPR_PROCESS_START,0.005214521732364252
REG_CITY_NOT_WORK_CITY,0.004640689250144936
CNT_CHILDREN,0.004124404436773421
AMT_INCOME_TOTAL,0.004107929518361475
DAYS_BIRTH,0.0033825902019017917
LIVE_CITY_NOT_WORK_CITY,0.0032860805236250012
REGION_POPULATION_RELATIVE,0.0028048316004722906
FLAG_WORK_PHONE,0.0027189683393520347
DAYS_ID_PUBLISH,0.0021723191804672304
DAYS_LAST_PHONE_CHANGE,0.0016826615662233202
REG_CITY_NOT_LIVE_CITY,0.0016512458260975471
OBS_30_CNT_SOCIAL_CIRCLE,0.0015205467324357347
OBS_60_CNT_SOCIAL_CIRCLE,0.0014578325058351993
DAYS_REGISTRATION,0.0011569928127319606
FLAG_DOCUMENT_6,0.0010975271569193534
LIVE_REGION_NOT_WORK_REGION,0.001021241234604453
DEF_60_CNT_SOCIAL_CIRCLE,0.0010070732523108639
FLAG_DOCUMENT_7,0.0010026981223654197
FLAG_DOCUMENT_18,0.0010024394497201161
NAME_CONTRACT_TYPE,0.0007472330463147436
FLAG_DOCUMENT_20,0.000666313926062978
DEF_30_CNT_SOCIAL_CIRCLE,0.0006582974325355373
FLAG_DOCUMENT_19,0.0005600627401984859
FLAG_DOCUMENT_21,0.0005245735403702767
REG_REGION_NOT_WORK_REGION,0.0005181446217585872
FLAG_DOCUMENT_10,0.0005157029462934393
REG_REGION_NOT_LIVE_REGION,0.0004972006832526521
FLAG_DOCUMENT_8,0.0004824427064213932
FLAG_DOCUMENT_16,0.00047722867110322476
FLAG_DOCUMENT_15,0.00027396750360009214
FLAG_DOCUMENT_11,0.00018091296472921847
FLAG_DOCUMENT_4,3.466306604638092e-05
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_14,0.0
FLAG_EMAIL,0.0
FLAG_DOCUMENT_13,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_5,0.0
